Column,lat,lng,label_place_of_publication,20,city,country,language,dates_of_reprints,date,time,date 3,cartodb_id,translator_s,title,publisher,number_of_printings_and_or_editions,sales_figures_if_known,link_to_cover,link_to_sound_file_of_title,notes,source__w__worldcat__it__index_translationum,X_column,Column 23
260,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese,0,1967,01/01/1967 00:00,,259,Taeko Kamiyama,ジェーン・エア / Jane Eyre,Obunsha,1,NA,,,,,NA,
252,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese,1994,1968,01/01/1968 00:00,,252,Ichiro Kono,ジエイン・エア / Jane Eyre, Chuo Koronsha,2,NA,,,,,NA,
254,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese,1979,1968,01/01/1968 00:00,,251,Kenichi Yoshida,ジエイン・エア / Jane Eyre, Syueisha,2,NA,,,,,NA,
263,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese,0,1971,01/01/1971 00:00,,262,Eiji Shinba,ジェーン・エア / Jane Eyre,Kaiseisha,1,NA,,,,,NA,
266,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese,0,1974,01/01/1974 00:00,,265,Koji Oi,ジエイン・エア / Jane Eyre,Kodansha,1,NA,,,,,NA,
268,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese,0,1974,01/01/1974 00:00,,267,Yoshiharu Suzuki,ジェーン・エア / Jane Eyre,Syueisha,1,NA,,,,,NA,
267,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese,0,1995,01/01/1995 00:00,,266,Shigeru Koike ,ジエイン・エア / Jane Eyre,Misuzu Shobo,1,NA,,,,,NA,
249,35.68898154,139.7169536,Knot,Knot,Knot,Japan,Japanese,0,2002,01/01/2002 00:00,,249,Yasuo Tanaka ,Jane Eyre,Kyoto Syugakusha,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Japanese/2002%20Yasuo%20Tanaka.jpg?role=personal,,,,NA,
264,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese,0,2006,01/01/2006 00:00,,263,Fusa Obi ,ジエイン・エア / Jane Eyre,Kobunsha,1,NA,,,,,NA,
262,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese,0,2007,01/01/2007 00:00,,261,Akiko Minami ,ジエイン・エア / Jane Eyre,HQ Fast Fiction,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Japanese/2007%20Akiko%20Minami.jpg?role=personal,,Abridged,,NA,
265,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese,0,2013,01/01/2013 00:00,,264,Hiromi Kawashima,ジエイン・エア / Jane Eyre,Iwanami Shoten,1,NA,,,,,NA,
250,35.6681381,139.753237,Tokyo,Tokyo,Tokyo,Japan,Japanese ,"1951, 1954, 2012",1949,01/01/1949 00:00,,269,Yasuo Okubo,ジエーン・エア / Jane Eyre,Okakura Shobo ,4,NA,,,,,NA,
,12.96438706,77.590026,Bengalaru,Bengalaru,Bengalaru,India,Kannada,0,2014,01/01/2014 00:00,,,Śyāmalā Mādhava (ಶ್ಯಾಮಲಾ ಮಾಧವ),ಜೇನ್ ಏರ್ / Jane Eyre,Tēju Pablikēṣans,,,,,,,,
386,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,1958,1957,01/01/1957 00:00,,385,Ewha University English Novel Class,제인 에어 / Jane Eyre,Ewha Women's University (홍문사  이화여대출판사) ,2,NA,,,,,NA,
396,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,"1982, 1988, 1987, 1994, 1996",1963,01/01/1963 00:00,,395,"Lee, Kunsam",제인 에어 / Jane Eyre,Shinyoung Publisher; JoongAng Media Central Publisher (신영출판사 중앙미디어 중앙출판사),6,NA,,,,,NA,
395,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,"1969, 1976",1969,01/01/1969 00:00,,394,"Won, UngSeo",제인 에어 / Jane Eyre,Changdosa East-West Cultural History (창도사  동서문화사),3,NA,,,,,NA,
387,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,1973,1970,01/01/1970 00:00,,386,"Yu, JongHo",제인 에어 / Jane Eyre,Donghwa Publisher (동화출판공사 동화출판사),2,NA,,,This edition was substantially revised and republished in 2004. after it won the Best Translation of British Classics Prize,,NA,
389,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,1975,1971,01/01/1971 00:00,,388,"Chung, Bongwha",제인 에어 / Jane Eyre,Jeongeumsa (정음사),2,NA,,,,,NA,
388,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,1984,1971,01/01/1971 00:00,,387,"Yun, JongHyuk",제인 에어 / Jane Eyre,Supplement to the April issue of Houewife Life; Daeyang Publisher (주부생활 4월호 부록 /대양출판사),2,NA,,,,,NA,
410,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,"1976, 1977, 1979, 1981",1972,01/01/1972 00:00,,410,"Jung, SungKuk",제인 에어 / Jane Eyre,Jemun Publisher; Ohseong Publisher; Samgeum Publisher (제문출판사/영흥문화사/흥신문화사/오성출판사/삼금출판사),5,NA,,,,,NA,
405,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,0,1974,01/01/1974 00:00,,404,"Yu, Ryung",제인 에어 / Jane Eyre,Whimoon Publisher (휘문출판사),1,NA,,,,,NA,
409,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,0,1975,01/01/1975 00:00,,409,"Lee, Jaehun",제인 에어 / Jane Eyre,Minumsa Publisher (삼중당),1,NA,,,,,NA,
385,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,1986,1976,01/01/1976 00:00,,384,"Lee, KunChul",제인 에어 / Jane Eyre,Samsung Publisher (삼성출판사),2,NA,,,,,NA,
398,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,"1983, 1984, 1996, 2002",1980,01/01/1980 00:00,,397,"Bae, YoungWon",제인 에어 / Jane Eyre,Whimoon Publishing Company / 범우사/ 휘문출판사/ 신원문화사,5,NA,,,,,NA,
399,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,"1983, 1985",1981,01/01/1981 00:00,,398,"Ku, JungSeo",제인 에어 / Jane Eyre,Jisung Publisher; Period Culture History; Cheonho Publisher (지성출판사/시대문화사/천호출판사),3,NA,,,,,NA,
403,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,"1982, 1992, 2016",1982,01/01/1982 00:00,,402,"Kim, SunHo",제인 에어 / Jane Eyre,Good Year (풍년),1,NA,,,,,NA,
397,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,0,1982,01/01/1982 00:00,,396,"Park, SunNyeo",제인 에어 / Jane Eyre,Gakwon Publishing Corporation ? 문공사/삼성당/학원출판공사,4,NA,,,,,NA,
404,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,0,1986,01/01/1986 00:00,,403,"Kim, YongGil",제인 에어 / Jane Eyre,Cheonghwa (청화),1,NA,,,,,NA,
390,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,1993,1988,01/01/1988 00:00,,389,"Jang, MunPyong",제인 에어 / Jane Eyre,Enlightenment (계몽사),2,NA,,,,,NA,
393,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,2002,1988,01/01/1988 00:00,,392,"Kim, MunYoung",제인 에어 / Jane Eyre,Education Library (교육서관/ 하서),2,NA,,,,,NA,
400,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,"1988, 1994",1988,01/01/1988 00:00,,399,"Kim, SuYeon",제인 에어 / Jane Eyre,Ilshin Publisher (일신서적공사),3,NA,,,,,NA,
391,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,1994,1990,01/01/1990 00:00,,390,"Lee, JungKee",제인 에어 / Jane Eyre,Semyung Cultural History (세명문화사),2,NA,,,,,NA,
392,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,2001,1992,01/01/1992 00:00,,391,"Park, JongHak",제인 에어 / Jane Eyre,Hongshin Culture History  (홍신문화사),2,NA,,,,,NA,
401,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,"1995, 2000",1994,01/01/1994 00:00,,400,"Kim, JungWhan",제인 에어 / Jane Eyre,Samsung Publisher (삼성기획/ 육문사),3,NA,,,,,NA,
408,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,0,1994,01/01/1994 00:00,,408,"Yu, HaeKyung",제인 에어 / Jane Eyre,Sodam Publishing Company (소담출판사),1,NA,,,,,NA,
406,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,0,1999,01/01/1999 00:00,,406,"Kim, SungKu",제인 에어 / Jane Eyre,Cheongmogsa (청목사),1,NA,,,,,NA,
402,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,"2008, 2017",2004,01/01/2004 00:00,,401,"Yu, JongHo",제인 에어 / Jane Eyre,Mineumsa (민음사),3,NA,,,"Yu substantially re-wrote his 1970 translation for this editio, using more up-to-date language",,NA,
384,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,0,2005,01/01/2005 00:00,,405,"Jo, AeRi",제인 에어 / Jane Eyre,Shin Asa (신아사),1,NA,,,Bilingual Korean-English edition,,NA,
394,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,2017,2014,01/01/2014 00:00,,393,"Na, SunSook",제인 에어 / Jane Eyre,The Classic (더클래식),2,NA,,,,,NA,
407,37.54726009,126.9807822,Seoul,Seoul,Seoul,South Korea,Korean,0,2016,01/01/2016 00:00,,407,"Park, JungSook",제인 에어 / Jane Eyre,Brown Hill (브라운힐),1,NA,,,,,NA,
273,57.06168422,24.35877197,Riga,Riga,Riga,Latvia,Latvian,2008,1976,01/01/1976 00:00,,273,Helga Gintere,Džeina Eira: romāns / Jane Eyre: Novel ,Izdevniecība 'Liesma',2,NA,https://www.dropbox.com/s/jcclpbb5uswbo7x/1976%20Gintere.jpg?dl=0,,,WorldCat,NA,
,54.68218698,25.28465805,Vilnius,Vilnius,Vilnius,Lithuania,Lithuanian,0,1957,01/01/1957 00:00,,,Unknown,Džeinė Eir,Valstybinė grožinės literatūros leidykla,,,,,Source: Jay Dillon Rare Books + Manuscripts,,,
277,54.91815435,23.92301688,Kaunas,Kaunas,Kaunas,Lithuania,Lithuanian,0,1983,01/01/1983 00:00,,277,Vytautas Karsevičius,Džeinė Eir,FD,1,NA,,,Abridged; with running English-Lithuanian thesaurus,IT,NA,
279,54.68218698,25.28465805,Vilnius,Vilnius,Vilnius,Lithuania,Lithuanian,2006,1985,01/01/2006 00:00,,279,Marija Kazlauskaitė and Juozas Subatavičius,Džeinė Eir,Vaga,2,NA,https://www.dropbox.com/s/8j93yyg7h1ipdw3/2006%20Kazlauskait%C4%97%20and%20Subatavi%C4%8Dius.jpg?dl=0,,The 2006 edition is with Alma Littera,IT,NA,
280,41.99018196,21.43614206,Skopje,Skopje,Skopje,North Macedonia,Macedonian,0,1984,01/01/1984 00:00,,280,Ilinka Smilevska,Džejn Ejr,Naša kniga,1,NA,https://www.dropbox.com/s/8j93yyg7h1ipdw3/2006%20Kazlauskait%C4%97%20and%20Subatavi%C4%8Dius.jpg?dl=0,,,WorldCat,NA,
281,3.162952534,101.6901072,Kuala Lumpar,Kuala Lumpar,Kuala Lumpur,Malaysia,Malay,0,1979,01/01/1979 00:00,,281,Sharifah Hasnah Abdullah,Jane Eyre,Dewan Bahasa dan Pustaka,1,NA,,,,WorldCat,NA,
168,9.587798531,76.51410611,Kottayam,Kottayam,Kottayam,India,Malayalam,0,1983,01/01/1983 00:00,,168,N. Govindan Nair,ഷാർലറ്റ് ബ്രോൺടി ജെയ്ൻ എയർ / Charlotte Brontë: Jane Eyre,D. C. Books,1,NA,,,Abridged ,IT,NA,
,10.06266945,76.6306504,Kothamangalam,Kothamangalam,Kothamangalam,India,Malayalam,0,2020,01/01/2020 00:00,,,Sāṟa Dīpa Ceṟiyān (സാറ ദീപ ചെറിയാൻ),ജെയ്ൻ എയർ / Jane Eyre,Saikatam Buks,1,,,,,,,
,47.02225698,28.84580654,Chișinău,Chișinău,Chișinău,Moldova,Moldovan,0,1988,01/01/1988 00:00,,,Nina Iskimži and E. Kurekeru-Vatamanu,Džejn Ejr,Literatura Artistike,,,,,,WorldCat,,
,47.02225698,28.84580654,Chișinău,Chișinău,Chișinău,Moldova,Moldovan,0,2004,01/01/2004 00:00,,,Paul B. Marian and Dumitru Mazilu,Jane Eyre,Arc,,,,,"Two volumes. First Chișinău edition of the translation originally published in Bucharest, Romania in 1956. The language of the text was called Romanian on that first publication but is here named Moldovan.  ",WorldCat,,
284,47.91338551,106.8924163,Ulan Bator,Ulan Bator,Ulan Bator,Mongolia,Mongolian,0,2014,01/01/2014 00:00,,284,D. Altanchimeg,ЖейнЭйр: Шарлотте Бронтегийн бутээлээс хэсэгчлэн авав / Jyeyn Eyr: Sharlotte Brontyegiyn buteelees hesegchlen avav / Jane Eyre: An Excerpt taken from Charlotte Brontë's work,Bolor Sudar Publishing,1,NA,,,"Excerpts included in a volume titled ""Delhiyn songodog zohioluud' (Selected World's Classics)",,NA,
,27.71138339,85.3252752,Kathmandu,Kathmandu,Kathmandu,Nepal,Nepali,0,1993,01/01/1993 00:00,,,Mrs Sarayu Rai (श्रीमाती सरायू राई),जेन एयर  / Jane Eyre,"Abhivyākti Chāpākhānā (Expression Press, Chabahil), for PEN Nepal",,,,,Publication date VS 2050 = CE 1993-4. Source: Jay Dillon Rare Books + Manuscripts,,,
,56.46320176,-2.9757617,Dundee,Dundee,Dundee,Scotland,North-East Scots,0,2018,01/01/2018 00:00,,,Sheena Blackhall and Sheila Templeton,Jean Eyre,Evertype,1,,,,With illustrations by Edmund H. Garrett and E. M. Wimperis,Libris,,
321,59.90992025,10.7479804,Oslo,Oslo,Oslo,Norway,Norwegian,0,1911,01/01/1911 00:00,,320,Unknown,"Jane Eyre eller en Gouvernantes Memoirer. Efter det Engelske. 1.-3. Del. Roman / Jane Eyre, or, a Governess's Memoir. Translated from English, parts 1-3, novel ",Kristiania,1,NA,,,,,NA,
320,59.90992025,10.7479804,Oslo,Oslo,Oslo,Norway,Norwegian,0,1948,01/01/1948 00:00,,319,Unknown,Jane Eyre,Nasjonalforlaget,1,NA,,,,WorldCat,NA,
318,59.90992025,10.7479804,Oslo,Oslo,Oslo,Norway,Norwegian,0,1986,01/01/1986 00:00,,317,Othar Bertelsen,Jane Eyre,Mortensen ,1,NA,,,,IT,NA,
317,59.91610267,10.59498959,Stabekk,Stabekk,Bærum,Norway,Norwegian,0,1989,01/01/1989 00:00,,321,Elise Horn,Jane Eyre,Den norske bokklubben,1,NA,,,,IT,NA,
319,59.90992025,10.7479804,Oslo,Oslo,Oslo,Norway,Norwegian,0,1999,01/01/1999 00:00,,318,Ragnfrid Stokke,Jane Eyre,Pax,1,NA,https://www.dropbox.com/s/y40hp3dnyygj7eg/1999%20Stokke.jpg?dl=0,,,IT,NA,
202,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,1950,01/01/1950 00:00,,202,Masʻud Barzin,یتیم : ژن ئر  / Yatim: Jane Eyre  / Orphan: Jane Eyre  ,Maʻrefat,1,NA,https://www.dropbox.com/home/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/1950%20Barzin,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/1950%20Barzin.m4a?role=personal,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
182,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,"1987, 1991, 2005, 2009",1982,01/01/1982 00:00,,181,Mahdi Afshar,Jane Eyre /جین ایر,Zarrin,5,NA,https://www.dropbox.com/home/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/1982%20Afshar,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/1982%20Afshar.m4a?role=personal,,National Library of Iran: http://www.nlai.ir/,NA,
203,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,1983,01/01/1983 00:00,,203,Parviz Najmoddini,Jane Eyre /جین ایر,Towsan,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/1983%20Najmoddini.JPEG?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/1983%20Najmoddini.m4a?role=personal,Translation of E. M. Attwood's simplified version,National Library of Iran: http://www.nlai.ir/,NA,
185,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,1985,01/01/1985 00:00,,184,Nazer Neʻmati,Jane Eyre / جین ایر,Mojarrad,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/1985%20Ne%CA%BBmati.jpg?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/1985%20Ne%CA%BBmati.m4a?role=personal,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
193,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,1990,01/01/1990 00:00,,193,Fereidun Kar,Jane Eyre /جین ایر,Javidan,1,NA,,,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
183,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,"1996, 2001, 2010, 2014",1991,01/01/1991 00:00,,182,Mohammad-Taqi Bahrami Horran,Jane Eyre /جین ایر,Mohammad-Taqi Bahrami Horran,5,NA,https://www.dropbox.com/home/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/1991%20Bahrami%20Horran,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/1991%20Bahrami%20Horran.m4a?role=personal,"Self-published, except the 1996 edition which is with Jami",National Library of Iran: http://www.nlai.ir/,NA,
184,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,"1996, 2014",1991,01/01/1991 00:00,,183,Nastaran Jameʻi,Jane Eyre /جین ایر,Abnus,3,NA,https://www.dropbox.com/home/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/1991%20Jame%CA%Bbi,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/1991%20Jame%CA%BBi.m4a?role=personal,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
178,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,"1996, 2014",1991,01/01/1991 00:00,,177,Parvin Qa’emi,Jane Eyre /جین ایر,Ketab-e Afarin,2,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/1991%20Qa%E2%80%99emi.jpg?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/1991%20Qa'emi.m4a?role=personal,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
186,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,1997,01/01/1997 00:00,,185,Shahla Naqash and Fatemeh Naqash,Jane Eyre / جین ایر,Hezar Aftab,1,NA,,,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
177,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,1998,01/01/1998 00:00,,188,Hojjatollah Soleymani,Jane Eyre /جین ایر,Jaddeh-ye Abrisham,1,NA,,,,National Library of Iran: http://www.nlai.ir/,NA,
181,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,2008,2004,01/01/2004 00:00,,180,Maryam Moayyedi,Jane Eyre /جین ایر,Amir Kabir,2,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2004%20Moayedi.JPEG?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2004%20Moayedi.m4a?role=personal,Translation of E. M. Attwood's simplified version,National Library of Iran: http://www.nlai.ir/,NA,
179,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,2015,2004,01/01/2004 00:00,,178,Zohreh Bakubi,Jane Eyre /جین ایر,Sarvestan,2,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2002%20Bekubi.JPEG?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2002%20Bekubi.m4a?role=personal,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
174,36.29243439,59.60042391,Mashad,Mashad,Mashad,Iran,Persian,0,2006,01/01/2006 00:00,,174,Ayat Tabasiyan,Jane Eyre /جین ایر,Nush,1,NA,,,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
180,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,2015,2009,01/01/2009 00:00,,179,Nushin Ebrahimi,Jane Eyre /جین ایر,Ofoq,2,NA,,,Translation of a 're-telling' for children by Anna Claybourne (2003),National Library of Iran: http://www.nlai.ir/,NA,
188,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,2010,01/01/2010 00:00,,187,Reza Reza’i,Jane Eyre /جین ایر,Nashr-e Ney,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2010%20Reza'i.png?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2010%20Reza'i.m4a?role=personal,Complete ,National Library of Iran: http://www.nlai.ir/,NA,
190,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,2011,01/01/2011 00:00,,190,Maryam Rasuli,Jane Eyre /جین ایر,Ordibehesht,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2011%20Rasuli.JPEG?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2011%20Rasuli.m4a?role=personal,,National Library of Iran: http://www.nlai.ir/,NA,
187,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,2011,01/01/2011 00:00,,186,Shoʻleh Moradi,Jane Eyre /جین ایر,"Marefat, Zaban-amuz",1,NA,,,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
199,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,2012,01/01/2012 00:00,,199,Maryam Dastum,Jane Eyre /جین ایر,Zaban-e mehr,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2012%20Dastum.JPEG?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2012%20Dastum.m4a?role=personal,Translated from the text of the abridged Oxford Bookworms Series for English language learners,National Library of Iran: http://www.nlai.ir/,NA,
189,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,2013,01/01/2013 00:00,,189,Hanieh Chupani,Jane Eyre /جین ایر,Fararuy,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2013%20Chupani.png?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2013%20Chupani.m4a?role=personal,,National Library of Iran: http://www.nlai.ir/,NA,
191,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,2013,01/01/2013 00:00,,191,Marzieh Khosravi,Jane Eyre /جین ایر,Ruzgar,1,NA,https://www.dropbox.com/home/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2013%20Khosravi,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2013%20Khosravi.m4a?role=personal,,National Library of Iran: http://www.nlai.ir/,NA,
192,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,2013,01/01/2013 00:00,,192,Mirinda Moqimi,Jane Eyre /جین ایر,Qasidak Saba & Hegmatan,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2013%20Moqimi.jpg?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2013%20Moqimi.m4a?role=personal,,National Library of Iran: http://www.nlai.ir/,NA,
196,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,2014,01/01/2014 00:00,,196,Armin Hedayati,Jane Eyre /جین ایر,Bongah-e tarjomeh va nashr-e ketab-e parseh,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2014%20Hedayati.JPEG?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2014%20Hedayati.m4a?role=personal,Abridged illustrated version,National Library of Iran: http://www.nlai.ir/,NA,
194,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,2014,01/01/2014 00:00,,194,ʻAtefeh Moradmand,Jane Eyre /جین ایر,Atefeh Moradmand,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2014%20Moradmand.JPEG?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2014%20Moradmand.m4a?role=personal,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
195,35.6895582,51.38398935,Tehran,Tehran,Tehran,Iran,Persian,0,2015,01/01/2015 00:00,,195,Leyla Jahani,Jane Eyre /جین ایر,Mahya,1,NA,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/Persian/2015%20Jahani.png?role=personal,https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/4%20Sound%20files%20of%20title%20and%20author/Persian/2015%20Jahani.m4a?role=personal,Abridged,National Library of Iran: http://www.nlai.ir/,NA,
